type,ins,i30,i25,i14,i13,i12,i6,i5,i4 ,i3,i2,ibin,ssel1,ssel0,lsel2,lsel1,lsel0,brsel3,brsel2,brsel1,brsel0,as4,as3,as2,as1,as0,regwen,is2,is1,is0,bsel,obin
,,0,1,0,0,0,0,0,0,0,0,0100000000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0001100000000010001
,,1,1,0,0,0,0,0,0,0,0,1100000000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0001100000000010001
,lh,0,0,0,0,1,0,0,0,0,0,0000100000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0000100000000010001
,,1,0,0,0,1,0,0,0,0,0,1000100000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0000100000000010001
,,0,1,0,0,1,0,0,0,0,0,0100100000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0000100000000010001
,,1,1,0,0,1,0,0,0,0,0,1100100000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0000100000000010001
,lw,0,0,0,1,0,0,0,0,0,0,0001000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0001000000000010001
,,1,0,0,1,0,0,0,0,0,0,1001000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0001000000000010001
,,0,1,0,1,0,0,0,0,0,0,0101000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0001000000000010001
,,1,1,0,1,0,0,0,0,0,0,1101000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0001000000000010001
,lbu,0,0,1,0,0,0,0,0,0,0,0010000000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0010000000000010001
,,1,0,1,0,0,0,0,0,0,0,1010000000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0010000000000010001
,,0,1,1,0,0,0,0,0,0,0,0110000000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0010000000000010001
,,1,1,1,0,0,0,0,0,0,0,1110000000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0010000000000010001
,lhu,0,0,1,0,1,0,0,0,0,0,0010100000,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0010100000000010001
,,1,0,1,0,1,0,0,0,0,0,1010100000,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0010100000000010001
,,0,1,1,0,1,0,0,0,0,0,0110100000,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0010100000000010001
,,1,1,1,0,1,0,0,0,0,0,1110100000,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0010100000000010001
,lui,0,0,0,0,0,0,1,1,0,1,0000001101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,0,0,0,0,1,0,1,1,0,1,0000101101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,0,0,0,1,0,0,1,1,0,1,0001001101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,0,0,0,1,1,0,1,1,0,1,0001101101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,0,0,1,0,0,0,1,1,0,1,0010001101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,0,0,1,0,1,0,1,1,0,1,0010101101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,0,0,1,1,0,0,1,1,0,1,0011001101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,0,0,1,1,1,0,1,1,0,1,0011101101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,1,0,0,0,0,0,1,1,0,1,1000001101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
,,1,0,0,0,1,0,1,1,0,1,1000101101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0011000000000011001
